@RELATION DVDTrain

@ATTRIBUTE Text string
@ATTRIBUTE sentiments real

@DATA


'acting_great',1
'of',1
'partly',2
'story_line',1
'sci-fi_partly',1
'top',1
'life',1
'and_selection',1
'selection',1
'nail_biting',1
'nail',1
'to',1
'reality_life',1
'line_partly',1
'exciting_nail',1
'own',1
'actors_exciting',1
'fast',1
'it_in',1
'great_casting',1
'selection_of',1
'own_it',1
'can\'t_wait',1
'in_blu-ray',1
'excellent_acting',1
'partly_sci-fi',1
'to_own',1
'wait_to',1
'can\'t',1
'moving',1
'action',1
'moving_action',1
'biting',1
'wait',1
'action_can\'t',1
'today\'s_reality',1
'sci-fi',1
'casting_and',1
'today\'s',1
'acting',1
'partly_today\'s',1
'deja',1
'actors',1
'story',1
'great',1
'vu',1
'top_story',1
'deja_vu',1
'blu-ray',1
'casting',1
'it',1
'life_excellent',1
'excellent',1
'line',1
'in',1
'of_actors',1
'biting_fast',1
'fast_moving',1
'reality',1
'exciting',1
'and',1
'#label#',5.0
'which_included',1
'as_the',1
'have_graced',1
'i_saw',1
'sonic_impact',1
'superstars',1
'direction_and',1
'say_that',1
'appalled',1
'he_should',1
'rudd_was',1
'at',1
'as',2
'are_not',1
'topic',1
'impact_with',1
'and_sonic',1
'that_i',1
'huge_fan',1
'same',1
'fan',2
'wenders_scorcese',1
'starring_treat',1
'stick_to',2
'fan_disapointed',1
'of_his',1
'to_idiots',1
'ice-t_who',1
'i_think',1
'please_sean',1
'are_the',1
'williams_and',1
'virtually',1
'which',1
'topic_of',1
'leave_that',1
'like',2
'know_best',1
'mcginly_his',1
'and_stay',1
'williams',1
'i_was',1
'classics_include',1
'some',1
'what_you',1
'should',1
'venomous',1
'sonic',1
'league_as',1
'traci',1
'in_your',1
'and_ice-t',1
'doing',1
'sean_mcginly',2
'to_writing',1
'days',1
'please',1
'league',2
'his_classics',1
'discussion_at',1
'he_is',1
'mcginly\'s_films',1
'world',1
'the_cast',1
'intellectual',1
'schools_all',1
'who',1
'hacks_like',1
'across',1
'latest_film',1
'to',4
'a_renowned',1
'classics',1
'know',1
'two',1
'like_paul',1
'a_huge',1
'his',3
'virtually_without',1
'think_he',1
'huge',1
'when_i',1
'venomous_starring',1
'appalled_when',1
'fan_of',1
'capra',1
'film',3
'included_hacks',1
'say',1
'saw',1
'and_i',1
'ice-t',1
'leave',1
'you_know',1
'that_to',1
'from',1
'mcginly\'s',1
'when',1
'cast_which',1
'two_days',1
'doing_what',1
'the_intellectual',1
'not_in',2
'was_virtually',1
'films',1
'and_the',1
'best',1
'graced_some',1
'im',1
'are',2
'across_the',1
'they_are',1
'schools',1
'work',1
'treat',1
'disapointed',1
'the_same',1
'the_topic',1
'of_discussion',1
'traci_bingham',1
'was_not',1
'wenders',1
'renowned',1
'of',3
'latest',1
'they',1
'idiots_like',1
'etc',1
'what',1
'writing_as',1
'starring',1
'was',3
'world_he',1
'stick',2
'in_the',1
'film_two',1
'capra_wenders',1
'work_please',1
'your',1
'films_are',1
'stay',1
'stay_away',1
'without_direction',1
'and',5
'you',1
'talent',1
'with_ice-t.',1
'with',1
'of_writer',1
'discussion',1
'his_previous',1
'writing',1
'all',1
